1/9/2017 | 20/29/55 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/30/40 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/30/45 | Igrac Ghost | Komanda: /veh 560 6 6
1/9/2017 | 20/31/45 | Igrac Ghost | Komanda: /fv
1/9/2017 | 20/36/13 | Igrac Ghost | Komanda: /gotopos 1740.062866 -1272.890014 12.539999 0
1/9/2017 | 20/36/15 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/36/22 | Igrac Ghost | Komanda: /fly
2/9/2017 | 8/28/41 | Igrac Ghost | Komanda: /gotopos  1264.5527 285.1472 19.5547 0
2/9/2017 | 8/29/1 | Igrac Ghost | Komanda: /gotopos 2464.2700 -956.1325 80.1088 0
2/9/2017 | 8/29/25 | Igrac Ghost | Komanda: /gotopos 325.9938 1854.4277 268.9764 0
2/9/2017 | 8/29/26 | Igrac Ghost | Komanda: /gotopos 325.9938 1854.4277 268.9764 0
2/9/2017 | 8/30/34 | Igrac Ghost | Komanda: /gotopos 2774.9065 -1998.4928 12.9765 0
2/9/2017 | 8/31/44 | Igrac Ghost | Komanda: /gotopos -1170.0009 1598.0896 1083.5540 0
2/9/2017 | 8/32/36 | Igrac Ghost | Komanda: /udjiuorg 17
2/9/2017 | 9/31/25 | Igrac Ghost | Komanda: /gotopos -190.212 2132.531 -15.202 0
2/9/2017 | 9/31/27 | Igrac Ghost | Komanda: /gotopos -190.212 2132.531 -15.202 0
2/9/2017 | 9/33/7 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/33/13 | Igrac Ghost | Komanda: /veh 522 0 0
2/9/2017 | 9/34/57 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/35/1 | Igrac Ghost | Komanda: /fly
2/9/2017 | 9/35/25 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/35/28 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/36/54 | Igrac Ghost | Komanda: /fly
2/9/2017 | 9/37/11 | Igrac Ghost | Komanda: /setjob 0 0
2/9/2017 | 9/37/57 | Igrac Ghost | Komanda: /pduznost
2/9/2017 | 9/38/9 | Igrac Ghost | Komanda: /rudnik
2/9/2017 | 9/43/13 | Igrac Ghost | Komanda: /pduznost
2/9/2017 | 9/43/48 | Igrac Ghost | Komanda: /gotopos -380.059 2195.879 -95.809  0
2/9/2017 | 9/43/49 | Igrac Ghost | Komanda: /gotopos -380.059 2195.879 -95.809  0
2/9/2017 | 9/43/51 | Igrac Ghost | Komanda: /gotopos -380.059 2195.879 -95.809  0
2/9/2017 | 9/48/13 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/48/34 | Igrac Ghost | Komanda: /gotopos -380.059 2195.879 -95.809 0
2/9/2017 | 9/48/37 | Igrac Ghost | Komanda: /gotopos -380.059 2195.879 -95.809 0
2/9/2017 | 9/48/51 | Igrac Ghost | Komanda: /gotopos -182.9798 2131.1423 -13.9518 0
2/9/2017 | 9/48/53 | Igrac Ghost | Komanda: /gotopos -182.9798 2131.1423 -13.9518 0
2/9/2017 | 9/49/13 | Igrac Ghost | Komanda: /tod 24
2/9/2017 | 9/49/20 | Igrac Ghost | Komanda: /tod 12
2/9/2017 | 9/59/51 | Igrac Ghost | Komanda: /port
2/9/2017 | 9/59/54 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/0/40 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/0/51 | Igrac Ghost | Komanda: /rudnik
2/9/2017 | 10/0/58 | Igrac Ghost | Komanda: /pduznost
2/9/2017 | 10/0/59 | Igrac Ghost | Komanda: /rudnik
2/9/2017 | 10/5/29 | Igrac Ghost | Komanda: /pduznost
2/9/2017 | 10/25/6 | Igrac Ghost | Komanda: /walk
2/9/2017 | 10/25/18 | Igrac Ghost | Komanda: /run
2/9/2017 | 10/25/19 | Igrac Ghost | Komanda: /run 9
2/9/2017 | 10/25/23 | Igrac Ghost | Komanda: /run 5
2/9/2017 | 10/25/26 | Igrac Ghost | Komanda: /run 3
2/9/2017 | 10/25/28 | Igrac Ghost | Komanda: /run 6
2/9/2017 | 10/26/12 | Igrac Ghost | Komanda: /port
2/9/2017 | 10/26/16 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/26/44 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/27/28 | Igrac Ghost | Komanda: /gotopos 1952.2482 -1228.5350 19.4043 0
2/9/2017 | 10/27/33 | Igrac Ghost | Komanda: /port
2/9/2017 | 10/27/36 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/28/22 | Igrac Ghost | Komanda: /mark
2/9/2017 | 10/29/4 | Igrac Ghost | Komanda: /port
2/9/2017 | 10/29/7 | Igrac Ghost | Komanda: /gotomark
2/9/2017 | 10/29/9 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/29/17 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/30/6 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/30/21 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/30/25 | Igrac Ghost | Komanda: /prolaps
2/9/2017 | 10/30/26 | Igrac Ghost | Komanda: /prolaps
2/9/2017 | 10/31/4 | Igrac Ghost | Komanda: /gotopos -501.958007 -1973.574951 -4.046999 0
2/9/2017 | 10/31/6 | Igrac Ghost | Komanda: /gotopos -501.958007 -1973.574951 -4.046999 0
2/9/2017 | 10/53/49 | Igrac Ghost | Komanda: /port
2/9/2017 | 10/53/54 | Igrac Ghost | Komanda: /veh 560 0 0
2/9/2017 | 10/54/52 | Igrac Ghost | Komanda: /port
2/9/2017 | 10/54/54 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/55/12 | Igrac Ghost | Komanda: /fly
2/9/2017 | 10/57/10 | Igrac Ghost | Komanda: /gotopos 65.301200 -1536.795166 4.703199 0
2/9/2017 | 10/59/9 | Igrac Ghost | Komanda: /gotopos 56.3522 -1539.107 5.1054 0
2/9/2017 | 11/1/20 | Igrac Ghost | Komanda: /gotopos 1919.523437 -1400.898437 16.171899 0
2/9/2017 | 11/12/39 | Igrac Ghost | Komanda: /port
2/9/2017 | 11/12/42 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/13/1 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/13/5 | Igrac Ghost | Komanda: /veh 560 0 
2/9/2017 | 11/13/6 | Igrac Ghost | Komanda: /veh 560 0 0
2/9/2017 | 11/13/9 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/13/15 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/13/41 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/15/1 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/15/32 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/41/37 | Igrac Ghost | Komanda: /port
2/9/2017 | 11/41/40 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/41/57 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/41/59 | Igrac Ghost | Komanda: /veh 522 0 0
2/9/2017 | 11/42/3 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/42/23 | Igrac Ghost | Komanda: /granica
2/9/2017 | 11/42/43 | Igrac Ghost | Komanda: /port
