4. July 2017 | 21:49:51 | - WeaponHack = 1
4. July 2017 | 21:49:51 | - MoneyHack = 1
4. July 2017 | 21:49:51 | - Jetpack = 0
4. July 2017 | 21:49:51 | - HealthHack = 1
4. July 2017 | 21:49:51 | - ArmourHack = 1
4. July 2017 | 21:49:51 | - DriveBy = 3
4. July 2017 | 21:49:51 | - Spam = 1
4. July 2017 | 21:49:51 | - CommandSpam = 0
4. July 2017 | 21:49:51 | - BadWords = 1
4. July 2017 | 21:49:51 | - CarJackHack = 1
4. July 2017 | 21:49:51 | - TeleportHack = 1
4. July 2017 | 21:49:51 | - MaxPing = 1000
4. July 2017 | 21:49:51 | - SpectateHack = 1
4. July 2017 | 21:49:51 | - Blacklist = 1
4. July 2017 | 21:49:51 | - IpBans = 1
4. July 2017 | 21:49:51 | - TempBans = 1
4. July 2017 | 21:49:51 | - SpawnKill = 3
4. July 2017 | 21:49:51 | - CapsLock = 0
4. July 2017 | 21:49:51 | - 3DSpeed = 0
4. July 2017 | 21:49:51 | - MaxSpeed = 230
4. July 2017 | 21:49:51 | - AdminImmunity = 1
4. July 2017 | 21:49:51 | - Advertisement = 0
4. July 2017 | 21:49:51 | - FreezeUpdate = 0
4. July 2017 | 21:49:51 | - SpawnTime = 10
4. July 2017 | 21:49:51 | - CheckpointTeleport = 1
4. July 2017 | 21:49:51 | - Airbrake = 150
4. July 2017 | 21:49:51 | - TankMode = 1
4. July 2017 | 21:49:51 | - WarnPlayers = 0
4. July 2017 | 21:49:51 | - SingleplayerCheats = 1
4. July 2017 | 21:49:51 | - MinFPS = 0
4. July 2017 | 21:49:51 | - DisableBadWeapons = 1
4. July 2017 | 21:49:51 | - CBug = 16
4. July 2017 | 21:49:51 | - AntiBugKill = 1
4. July 2017 | 21:49:51 | - NoReload = 0
4. July 2017 | 21:49:51 | - NoReloadForSawnOff = 0
4. July 2017 | 21:49:51 | - ActiveGMC = 2
4. July 2017 | 21:49:51 | - GMCBan = 0
4. July 2017 | 21:49:51 | - ServerSideHealth = 1
4. July 2017 | 21:49:51 | - CheckVMPos = 0
4. July 2017 | 21:49:51 | - QuickTurn = 0
4. July 2017 | 21:49:51 | - VehicleTeleport = 1
4. July 2017 | 21:49:51 | - Wallride = 170
4. July 2017 | 21:49:51 | - DisplayTextDraw = 1
4. July 2017 | 21:49:51 | - AFK = 0
4. July 2017 | 21:49:51 | - PickupTeleport = 1
4. July 2017 | 21:49:51 | - FlyHack = 40
4. July 2017 | 21:49:51 | - JunkBusterChrome = 1
4. July 2017 | 21:49:51 | - CheckWalkAnims = 1
4. July 2017 | 21:49:51 | - ReportMoneyHack = 1
4. July 2017 | 21:49:51 | - SpeedhackAdvanced = 20
4. July 2017 | 21:49:51 | - Joypad = 0
4. July 2017 | 21:49:51 | - ArmedVehicles = 0
4. July 2017 | 21:49:51 | - VehicleRepair = 2
4. July 2017 | 21:49:51 | - TuningHack = 1
4. July 2017 | 21:49:51 | - PayForGuns = 0
4. July 2017 | 21:49:51 | - SpawnVehicles = 2
4. July 2017 | 21:49:51 | - MaxTotalWarnings = 15
4. July 2017 | 21:49:51 | - TooManyWarningsAction = 1
4. July 2017 | 21:49:51 | - AirbrakeDetection = 1
4. July 2017 | 21:49:51 | - SpeedhackDetection = 0
4. July 2017 | 21:49:51 | 0 IP-bans have been loaded.
4. July 2017 | 21:49:51 | 0 temporary bans have been loaded.
4. July 2017 | 21:49:51 | 0 whitelist entries have been loaded.
4. July 2017 | 21:49:51 | 5 blacklist entries have been loaded.
4. July 2017 | 21:49:51 | 41 bad words have been loaded.
4. July 2017 | 21:49:51 | 4 forbidden weapons have been loaded.
4. July 2017 | 21:49:51 | JunkBuster has been configurated.
4. July 2017 | 21:49:51 | JunkBuster (v11) has successfully been loaded.
4. July 2017 | 22:10:18 | Loading JunkBuster...
4. July 2017 | 22:10:18 | Current JunkBuster configuration: 
4. July 2017 | 22:10:18 | - WeaponHack = 1
4. July 2017 | 22:10:18 | - MoneyHack = 1
4. July 2017 | 22:10:18 | - Jetpack = 0
4. July 2017 | 22:10:18 | - HealthHack = 1
4. July 2017 | 22:10:18 | - ArmourHack = 1
4. July 2017 | 22:10:18 | - DriveBy = 3
4. July 2017 | 22:10:18 | - Spam = 1
4. July 2017 | 22:10:18 | - CommandSpam = 0
4. July 2017 | 22:10:18 | - BadWords = 1
4. July 2017 | 22:10:18 | - CarJackHack = 1
4. July 2017 | 22:10:18 | - TeleportHack = 1
4. July 2017 | 22:10:18 | - MaxPing = 1000
